Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_03390,PA14_03400	1	0	1	0	0	1	1	3	3	0	0	1	1.09953567355091	0.870453857600063	1
PA14_01470	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_50970	0	0	0	16	26	7	0	0	0	7	9	10	0.705160791428865	0.885598564025107	1
PA14_61010	0	0	0	3	4	3	0	0	0	2	2	3	0.517399216908522	0.724083343331094	1
PA14_71320	0	0	2	0	0	0	0	0	0	0	0	0	-0.362570079384708	0.843525869092694	1
PA14_32830,PA14_32840	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_52630,PA14_52640,PA14_52660,PA14_52670,PA14_52690,PA14_52700,PA14_52720	5437	4579	4905	877	900	1040	4697	4734	4033	457	636	2269	-0.348942690001501	1.30890474702772e-17	6.42491692204814e-16
PA14_60540	2	4	3	0	1	0	1	2	7	1	2	0	-0.613896278965983	0.976850726019046	1
PA14sr_054	11	9	4	23	16	17	2	7	8	9	8	24	0.136556935538764	0.97557963496737	1
PA14_42010	0	0	1	20	12	18	1	0	0	9	11	3	1.14820871813875	0.613837072266379	1
PA14_07330	135	98	64	140	96	123	104	77	51	197	161	322	-1.15689665058503	3.82847606117439e-13	1.34563843779796e-11
PA14_18820,PA14_18830,PA14_18850	44	42	43	0	0	0	28	27	15	0	0	0	-0.915691885213313	0.732080301738532	1
PA14_38090	36	29	13	24	22	11	17	22	159	17	32	0	0.259296474525824	0.486628341477774	1
PA14_57850,PA14_57870,PA14_57880	200	146	173	0	0	0	229	319	383	0	0	0	0.806633331462982	0.787335332180808	1
PA14_11845,PA14_11860,PA14_11880	95	64	51	0	0	0	108	121	69	0	0	0	0.507398904243994	0.989485556034259	1
PA14sr_039	2	3	4	0	0	0	0	3	0	0	1	1	-0.907369022089736	0.903675940221077	1
PA14_41210	160	111	145	1114	936	1308	141	102	131	1090	752	978	0.090435240340315	0.428692123987616	1
